x,y,z
7.8385e+06,3.08721e+06,-0.96
7.83849e+06,3.08722e+06,-0.98
7.8385e+06,3.08723e+06,-0.16
7.83851e+06,3.08722e+06,-1.04
7.83852e+06,3.08722e+06,-0.06
7.83853e+06,3.08722e+06,-0.92
7.83854e+06,3.08721e+06,-0.25
7.83855e+06,3.08721e+06,-0.23
7.83856e+06,3.08721e+06,-1.07
7.83857e+06,3.0872e+06,-0.06
7.83858e+06,3.08719e+06,-0.97
7.83859e+06,3.08719e+06,-0.07
7.8386e+06,3.08718e+06,-0.65
7.8386e+06,3.08718e+06,-0.75
7.83861e+06,3.08717e+06,-0.11
7.83862e+06,3.08716e+06,-0.65
7.83863e+06,3.08716e+06,-0.76
7.83864e+06,3.08715e+06,-0.08
7.83865e+06,3.08715e+06,-0.76
7.83866e+06,3.08714e+06,-0.35
7.83867e+06,3.08713e+06,-0.28
7.83868e+06,3.08713e+06,-0.91
7.83869e+06,3.08713e+06,-1.08
7.8387e+06,3.08713e+06,-0.49
7.83871e+06,3.08712e+06,-0.16
7.83872e+06,3.08712e+06,-1
7.83871e+06,3.08713e+06,-0.32
7.8387e+06,3.08713e+06,-0.3
7.83869e+06,3.08713e+06,-1.11
7.83868e+06,3.08713e+06,-0.79
7.83867e+06,3.08713e+06,-0.08
7.83866e+06,3.08713e+06,-0.73
7.83865e+06,3.08713e+06,-0.29
7.83864e+06,3.08713e+06,-0.21
7.83862e+06,3.08713e+06,-0.92
7.83861e+06,3.08713e+06,-0.52
7.8386e+06,3.08713e+06,-0.07
7.83859e+06,3.08713e+06,-0.83
7.83858e+06,3.08713e+06,-0.74
7.83857e+06,3.08713e+06,-0.07
7.83856e+06,3.08714e+06,-0.56
7.83857e+06,3.08713e+06,-0.75
7.83858e+06,3.08713e+06,-0.49
7.83859e+06,3.08713e+06,-0.06
7.83858e+06,3.08714e+06,-0.88
7.83857e+06,3.08714e+06,-1.02
7.83856e+06,3.08715e+06,-1.07
7.83856e+06,3.08715e+06,-0.66
7.83855e+06,3.08716e+06,-0.06
7.83854e+06,3.08716e+06,-0.89
7.83853e+06,3.08717e+06,-0.98
7.83852e+06,3.08717e+06,-0.06
7.83851e+06,3.08718e+06,-0.06
7.8385e+06,3.08718e+06,-0.6
7.83849e+06,3.08719e+06,-0.94
7.83848e+06,3.08719e+06,-0.73
7.83849e+06,3.0872e+06,-1.76
7.8385e+06,3.0872e+06,-2.41
7.83851e+06,3.0872e+06,-2.45
7.83852e+06,3.0872e+06,-2.53
